Nama Pekerjaan,Link SPK,Status,Kategori Project,Progress Upload Teknis,Nilai Kontrak,Task Project,Status Selesai - Automated Test,Tanggal SPK Berakhir,Status Project,Link BAST,Keterangan Tender,Referensi,Url Folder Project,Tanggal Mulai SPK,BAST,Tim Eksternal,PIC,Satuan Kerja,Admin,Deadline Penulisan Ustek,Status Selesai Substansi,PIC Ustek,Pemberi Kerja,Link Referensi,Mekanisme Penunjukan,Status Penulisan Ustek,Tim Internal Project,Sisa Hari Pekerjaan,URL Ustek,Tahapan,Manajemen Penagihan,SPK,Jumlah Hari Berjalan,Peringkat,Urgensi Deadline,Deadline/Pengumuman,Last Update,Tim Penulis Ustek,Lokasi,PIC Project
IKM dan SROI Provinsi Lampung,,optJGac5R3,opt0Ikmm7g,,40000000,"recvmMCMurrvjA, recvmN2rYx5oVD, recvmN2sdpTqCf, recvmN3QPWx6P4, recvmN4a71VYjb, recvmN4iPR7Bk3, recvmN53DtleIN, recvmN55VgyoRj, recvmN5keWaCM5, recvmN5lGTZHxZ, recvmN5JmMxDpt, recvmN5JF0SucL, recvmN5JSWsXAs, recvmN5K6UtoYw, recvmN5OgJi3mu, recvmN5PshqxrY, recvmN5QIShoSa, recvmN5S0Mnnig",,2026-07-12 00:00:00,,,,,,2026-06-12 00:00:00,True,,,,,,optaBJGH5a,recvmSihvvFfgX,PNM,,optvqUXNkj,optJXoIXNF,recvmSiRsxf2ki,,,,recvmWSjFL5Wex,True,,,,,1788241514,,optcnBp9rk,recvmSihvvFfgX
Kesesuaian Lokasi Koperasi Desa / Kelurahan Merah Putih terhadap Kode dan Data Wilayah,,optv1IItaE,opt0Ikmm7g,,719999990.4,,,,,,Pembuktian 8-11 September,,,,,,,DIREKTORAT JENDERAL BINA ADMINISTRASI KEWILAYAHAN,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-08 00:00:00,1788836179,,optcnBp9rk,
Penyusunan Dokumen Fondasi Kebijakan dan Arsitektur Kelembagaan Serta Desain Tata Kelola dan Mekanisme Operasionalisasi Adhyaksa Chambers Untuk Mendukung Implementasi Advocaat General Sebagai Game Changer RPJPN 2025–2045,,optNEdbwBI,opt0Ikmm7g,,7999983120,,,,,,Dengan alasan Tidak hadir pembuktian kualifikasi,,,,,,,JAKSA AGUNG MUDA BIDANG PERDATA DAN TATA USAHA NEGARA,,,,,Kejaksaan Republik Indonesia,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-14 00:00:00,1784881328,,optcnBp9rk,
SURVEI JABAR DISERTASI S3,,optJGac5R3,opt9Viclbu,,,"recvu802vKn63g, recvu802I08TEd, recvu802S2SqVi, recvu802YFVSxT, recvu8035Go5wK, recvu803evHo7P, recvu803lV348b, recvu803sA5enK, recvu803z6Drng, recvu803HKXiu9, recvu803RjsgYW, recvu803ZLDOu6, recvu8047LX4wt, recvu804f0vo9j, recvu804mPhJCw, recvu804uFMspj, recvu804GcK9Gj",,,,,,,,,,,,,,,optbF5FFtB,,FOUNDER,,,optNtkntdg,,,,,recvu804O8gkyr,,,,,,1788410097,,optcnBp9rk,recvu82362aBlb
III.1.2 Konsultansi Review Penyusunan KLHS Rajeg,,optNEdbwBI,opt0Ikmm7g,,206112000,,,,,,Tidak lulus nilai pengalaman perusahaan,,,,,,,Dinas Lingkungan Hidup dan Kebersihan,,,,,Kab. Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-09 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultasi Evaluasi dan Penilaian Kesesuaian Modul Kriptografi Level 2 sesuai ISO/IEC 19790:2025 24759:2025,,optNEdbwBI,opt0Ikmm7g,,306748500,,,,,,"Survei Penetrasi dan Perilaku Pengguna Internet Indonesia 2025 (4 Maret 2025) - Survei Profil Internet Indonesia dan Potret Keamanan Informasi Sektor Bisnis 2024 (6 Desember 2023) Tidak bisa dibuktikan ketika pembuktian kualifikasi, pekerjaan tersebut dilakukan oleh entitas yang berbeda dengan calon penyedia.",,,,,,,Badan Siber dan Sandi Negara,,,,,Badan Siber dan Sandi Negara,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,,,2026-07-06 00:00:00,1784881328,,optcnBp9rk,
Konsultansi Penyusunan Kajian Risiko Bencana Kabupaten Sampang,,optv1IItaE,opt0Ikmm7g,,249919968.77,,,,,,,,,,,,,BADAN PENANGGULANGAN BENCANA DAERAH,,,,,Kab. Sampang,,optH2rZrfo,optNtkntdg,,,,optRJnmn5v,,,,,,,1788925497,,optcnBp9rk,
"Rencana Rehabilitasi Terumbu Karang di Kawasan Konservasi - 3 MPAs (Lokasi: KKD Banggai Dalaka, KKD Pulau Mare, KKN Padaido)",,optTq0MDaF,opt0Ikmm7g,,,,,,,,SPSE ICB,,,,,,,SEKRETARIAT DIREKTORAT JENDERAL PENGELOLAAN KELAUTAN DAN RUANG LAUT,,,,,Kementerian Kelautan Dan Perikanan,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-01 00:00:00,1788514072,,optcnBp9rk,
,,opty2DWWuN,opt0Ikmm7g,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1784881328,,,
Penyusunan Rencana Umum Penanaman Modal Daerah Provinsi TA. 2026,,optNEdbwBI,opt0Ikmm7g,,200000000,,,,,,Pembuktian di daerah,,,,,,,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,,,,,Provinsi Kalimantan Tengah,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-09-06 00:00:00,1784881328,,optcnBp9rk,
BANTUAN TEKNIS SEKRETARIAT BERSAMA PENGELOLAAN DANA ALOKASI KHUSUS (DAK) TAHUN 2026,,optNEdbwBI,opt0Ikmm7g,,749860500,,,,,,Tidak lulus nilai ambang batas unsur kualifikasi tenaga ahli,,,,,,,DITJEN BINA PEMBANGUNAN DAERAH,,,,,Kemendagri,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-13 00:00:00,1784881328,,optcnBp9rk,
PENDAMPINGAN NASDEM JAWA BARAT,,optJGac5R3,opt9Viclbu,,,"recvmWLZHvtdEG, recvmWQARQYtwi, recvmWQFt3kDzf, recvmWQFt3BJSt, recvmWQFt3o305, recvmWQFt3l4Fi, recvmWQFt3PqPq, recvmWQFt3fCAA, recvmWQFt3Fmnv, recvmWQFt3vuPy, recvmWQFt3lKH4, recvmWQFt3cvlb, recvmWQFt3M0YJ, recvmWQFt3YRNJ, recvmWQFt31FGH, recvmWQFt3CWnB, recvmWQFt3eXZs",,,,,,,,,,,,,,,optbF5FFtB,,BANG IDRIS,,optvqUXNkj,optNtkntdg,,,,,recvmWSrRIm7gF,,,,,,1788849782,,optcnBp9rk,recvmSjevI1wZT
BANTUAN TEKNIS SEKRETARIAT BERSAMA STANDAR PELAYANAN MINIMAL (SPM) TAHUN 2026,,optNEdbwBI,opt0Ikmm7g,,1299865500,,,,,,"Dengan alasan Tidak Memiliki Pekerjaan di bidang Jasa Konsultansi Nonkonstruksi paling kurang 1 (satu) pekerjaan dalam kurun waktu 1 (satu) tahun terakhir baik di lingkungan pemerintah maupun swasta, termasuk pengalaman subkontrak",,,,,,,DITJEN BINA PEMBANGUNAN DAERAH,,,,,Kemendagri,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-24 00:00:00,1784881328,,optcnBp9rk,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1787981231,,,
Monitoring Transformasi Pelayanan Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,,optJGac5R3,opt0Ikmm7g,,606667170,recvsVnteKMEtx,,2026-12-07 00:00:00,,,High Potential,,,2026-09-07 00:00:00,,"recvafrYUgbT0p, recvmRFuDawgtZ",,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,optbF5FFtB,,Kementerian Agraria dan Tata Ruang/BPN,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,recvsVntosS7ls,True,,,,2026-08-11 00:00:00,1788929683,,optcnBp9rk,recvajTXiw6gFo
Penyusunan Kajian Risiko Bencana Kabupaten/Kota,,optNEdbwBI,opt0Ikmm7g,,389981850,,,,,,"gugur, tidak memenuhi ambang batas (passing grade)",,,,,,,Badan Penanggulangan Bencana Daerah,,,,,Kota Bukittinggi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-07-06 00:00:00,1784881328,,optcnBp9rk,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1787985043,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1788501955,,,
Jasa Pendampingan Pengelolaan Sampah (Penyusunan Rencana Strategis BLUD Unit Pengelola Sampah Terpadu),,optNEdbwBI,opt0Ikmm7g,,824841000,,,,,,Tidak memenuhi Passing Grade,,,,,,,UNIT PENGELOLA SAMPAH TERPADU,,,,,Prov. DKI Jakarta,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-30 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Dokumen Project Completion Report Program TEKAD,,optNEdbwBI,opt0Ikmm7g,,2556344000,,,,,,High Potential,,,,,,,DIREKTORAT JENDERAL PENGEMBANGAN EKONOMI DAN INVESTASI DESA DAN DAERAH TERTINGGAL,,,,,Kementerian Desa dan Pembangunan Daerah Tertinggal,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-09-01 00:00:00,1788772592,,optcnBp9rk,
