Status,Tanggal Selesai,Kategori Project,Pemberi Kerja,Parent items,PIC,Tanggal Mulai,Realisasi Investasi Lab.Bogor,Deskripsi,Jenis Tahapan,Deadline,Project,Task
,,,,,recvmSihvvFfgX,2026-07-10 00:00:00,,,optJ0v2epl,2026-07-10 00:00:00,recvmMyYguBWdS,Revisi laporan
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Pelatihan Entri Data
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80R7Qv6e9,Usulan Teknis
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-20 00:00:00,,,,2026-07-25 00:00:00,recvmLMReAlqLy,Survei Lapangan 2: Jawa Barat
,,,,,recvmSihvvFfgX,2026-06-27 00:00:00,,,optJ0v2epl,2026-06-30 00:00:00,recvmMyYguBWdS,Pengolahan hasil Pengumpulan Data
optgdy5sBo,,,,,,2026-06-19 00:00:00,,,optZ66DTcP,,recvmWLHixm0Se,Kick Off Meeting
optgdy5sBo,,,,,,2026-06-01 00:00:00,,,optJ0v2epl,2026-06-02 00:00:00,recvmWLHixm0Se,Kuesioner
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optZ66DTcP,,recvu802bNbKU4,Kick Off
opt5Dt7rUO,,,,,,2026-08-26 00:00:00,,,optZ66DTcP,,recvqgwMV0E2nz,Kick Off Meeting
optgdy5sBo,,,,,,2026-06-19 00:00:00,,,optJ0v2epl,2026-06-20 00:00:00,recvmWLHixm0Se,Tabulasi Data
optgdy5sBo,,,,,recvajTXiw6gFo,2026-07-06 00:00:00,,,,2026-07-16 00:00:00,recvmMxx0YQKke,Interview Tim DJPT dan Biro Adm-Keuangan
opt5Dt7rUO,,,,,,,,,optJ0v2epl,,recvmWLyJaMkmD,Laporan Antara
optgdy5sBo,,,,,,2026-06-05 00:00:00,,,optJ0v2epl,2026-06-08 00:00:00,recvmWLyJaMkmD,Keynote
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optZ66DTcP,,recvu80OkPVGMt,Kick Off
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Pelatihan Enumerator
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-17 00:00:00,,,optZ66DTcP,2026-06-17 00:00:00,recvmMxx0YQKke,Kick Off Meeting
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-03 00:00:00,,,optJ0v2epl,2026-06-03 00:00:00,recvmMyX8cOcXH,Pelaksanaan In-depth Interview
optgdy5sBo,,,,,recvajTXiw6gFo,2026-06-18 00:00:00,,,optJ0v2epl,2026-07-09 00:00:00,recvmLMReAlqLy,Laporan pendahuluan
optgdy5sBo,,,,,recvajTXiw5De8,2026-06-17 00:00:00,,,optJ0v2epl,,recvmMxL1HyZRY,Pengumpulan Data Sekunder
optgdy5sBo,,,,,recvmSihvvFfgX,2026-06-17 00:00:00,,,optlWb4ybG,,recvmMxGVkXBIV,Pengumpulan Data Sekunder
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu802bNbKU4,Entri Data
optgdy5sBo,,,,,recvajTXiw6gFo,2026-08-04 00:00:00,,,,2026-08-10 00:00:00,recvmMxx0YQKke,Laporan Akhir dan Dokumen Roadmap
opt5Dt7rUO,,,,,,2026-09-03 00:00:00,,,optJ0v2epl,,recvu80OkPVGMt,Keynote
optgdy5sBo,,,,,,2026-05-20 00:00:00,,,optJ0v2epl,,recvmWLyJaMkmD,Persiapan Project
,,,,,,,,,optJ0v2epl,,recvmWLHixJuLV,Pengumpulan Data Lapangan
opt5Dt7rUO,,,,,,2026-09-08 00:00:00,,,,,,
