PIC,Kementrian/Lembaga/Dinas,Tahapan,Tanggal Kunjungan,Hasil Kunjungan,Bahan Kunjungan
,DPMPTSP Kota Bogor,optEJNhfw2,,,
,ESDM Minerba,,,,
,Kemen ATR BPN,,,,
,Kemenkop UMKM,,,,
,PD Pasar Jaya,,,,
,Dinas Koperasi Usaha Kecil Menengah Perdagangan dan Perindustrian Kota Bogor,,,,
,Kementerian Desa,,,,
,Dinas Ketahanan Pangan Kota Bogor,,,,
,Kementerian Budaya,,,,
,DISPUSIP DKI Jakarta,,,,
,BRI Corporate Development,,,,
,DPMPTSP Oku Timur - Sumatera Selatan,,,,
,BNPB,,,,
,Kemenkop UMKM,,,,
,Kementerian Kelautan dan Perikanan,,,,
,BPJS TK,,,,
,kementerian Dalam Negeri,,,,
,Bawaslu,,,,
,BNPB,optPETrhTk,2026-06-11 00:00:00,,
,BPOM,,,,
,Perpustakaan Nasional,,,,
,Kementerian Budaya,,,,
,Pemodalan Nasional Madani (PNM),,,,
,DPMPTSP Kota Bogor,,,,
